iter	Passed	Remaining
0	1	178
1	3	168
2	4	157
3	6	144
4	7	143
5	9	155
6	11	153
7	12	149
8	14	146
9	15	143
10	17	140
11	18	138
12	20	137
13	22	136
14	24	140
15	26	137
16	27	134
17	28	131
18	29	127
19	31	124
20	32	120
21	32	116
22	33	112
23	34	108
24	34	104
25	35	101
26	36	97
27	36	94
28	37	91
29	37	88
30	38	85
31	39	83
32	39	80
33	40	78
34	41	76
35	41	73
36	42	71
37	42	69
38	43	67
39	43	65
40	44	63
41	44	61
42	45	59
43	45	58
44	46	56
45	46	54
46	47	53
47	47	51
48	48	50
49	48	48
50	49	47
51	50	46
52	50	44
53	51	43
54	51	42
55	52	40
56	52	39
57	53	38
58	53	37
59	54	36
60	55	35
61	55	34
62	56	33
63	56	32
64	57	30
65	58	29
66	58	28
67	59	27
68	59	26
69	60	25
70	60	24
71	61	23
72	61	22
73	62	21
74	63	21
75	63	20
76	64	19
77	64	18
78	65	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	12
84	68	12
85	69	11
86	70	10
87	70	9
88	71	8
89	71	7
90	72	7
91	73	6
92	73	5
93	74	4
94	74	3
95	75	3
96	75	2
97	76	1
98	76	0
99	77	0
