iter	Passed	Remaining
0	216	216440
1	217	108644
2	220	73286
3	222	55279
4	222	44357
5	223	37094
6	224	31868
7	225	27957
8	226	24910
9	227	22488
10	227	20496
11	228	18842
12	229	17438
13	230	16234
14	231	15182
15	232	14303
16	233	13524
17	234	12801
18	235	12151
19	236	11568
20	236	11044
21	237	10565
22	238	10129
23	239	9729
24	240	9360
25	240	9022
26	241	8712
27	242	8422
28	243	8151
29	244	7900
30	245	7662
31	245	7441
32	248	7274
33	249	7083
34	250	6902
35	251	6726
36	251	6558
37	253	6409
38	254	6273
39	255	6129
40	256	5990
41	256	5857
42	257	5733
43	258	5613
44	259	5497
45	269	5596
46	271	5513
47	273	5432
48	274	5335
49	277	5271
50	278	5182
51	279	5094
52	280	5010
53	281	4929
54	282	4850
55	292	4922
56	293	4850
57	294	4777
58	295	4707
59	296	4639
60	297	4573
61	298	4509
62	311	4626
63	312	4564
64	313	4503
65	313	4443
66	314	4385
67	315	4329
68	316	4277
69	319	4241
70	320	4191
71	321	4142
72	322	4093
73	323	4046
74	324	3999
75	325	3952
76	325	3905
77	326	3859
78	327	3816
79	328	3772
80	328	3729
81	329	3688
82	329	3645
83	332	3630
84	334	3596
85	334	3558
86	335	3520
87	336	3484
88	336	3448
89	351	3557
90	357	3571
91	359	3550
92	360	3517
93	361	3483
94	362	3450
95	367	3456
96	368	3430
97	369	3403
98	370	3374
99	371	3343
100	372	3312
101	372	3282
102	373	3253
103	374	3224
104	374	3196
105	375	3168
106	376	3141
107	376	3113
108	380	3107
109	381	3084
110	382	3060
111	383	3036
112	383	3013
113	384	2989
114	385	2970
115	386	2947
116	387	2923
117	388	2901
118	389	2880
119	390	2861
120	391	2841
121	391	2820
122	392	2800
123	394	2789
124	396	2774
125	397	2755
126	397	2734
127	398	2715
128	399	2696
129	400	2678
130	400	2659
131	401	2641
132	402	2623
133	403	2605
134	403	2588
135	404	2570
136	405	2553
137	406	2536
138	406	2519
139	407	2503
140	409	2496
141	410	2480
142	411	2464
143	411	2448
144	412	2433
145	413	2417
146	414	2402
147	414	2387
148	415	2372
149	416	2358
150	416	2343
151	417	2329
152	418	2315
153	419	2301
154	419	2287
155	420	2274
156	421	2261
157	422	2249
158	424	2246
159	425	2235
160	426	2221
161	427	2209
162	427	2196
163	428	2184
164	429	2172
165	429	2160
166	430	2148
167	431	2136
168	432	2124
169	433	2114
170	433	2102
171	434	2091
172	435	2079
173	435	2069
174	436	2058
175	437	2047
176	440	2045
177	440	2035
178	441	2024
179	442	2013
180	442	2003
181	443	1993
182	444	1982
183	444	1972
184	445	1962
185	446	1952
186	446	1942
187	447	1933
188	448	1923
189	448	1914
190	449	1905
191	450	1895
192	451	1887
193	451	1877
194	452	1869
195	453	1861
196	454	1853
197	455	1844
198	456	1835
199	456	1826
200	457	1818
201	458	1809
202	458	1801
203	459	1792
204	460	1784
205	460	1775
206	461	1767
207	462	1759
208	462	1751
209	463	1743
210	464	1735
211	464	1727
212	465	1719
213	466	1713
214	467	1708
215	468	1701
216	469	1693
217	470	1686
218	470	1679
219	471	1671
220	472	1664
221	472	1657
222	473	1650
223	474	1643
224	474	1636
225	475	1629
226	476	1621
227	476	1614
228	477	1607
229	478	1601
230	478	1594
231	479	1587
232	480	1580
233	481	1575
234	482	1571
235	483	1565
236	484	1558
237	484	1552
238	485	1545
239	486	1539
240	486	1533
241	487	1527
242	488	1521
243	488	1515
244	489	1508
245	490	1502
246	490	1496
247	491	1490
248	492	1484
249	492	1477
250	493	1471
251	493	1465
252	494	1459
253	495	1454
254	496	1450
255	497	1445
256	497	1439
257	498	1433
258	499	1427
259	499	1422
260	500	1416
261	500	1410
262	501	1405
263	502	1399
264	502	1394
265	503	1388
266	503	1383
267	504	1377
268	505	1372
269	505	1367
270	506	1361
271	506	1356
272	507	1351
273	508	1346
274	508	1340
275	509	1336
276	510	1331
277	512	1331
278	513	1326
279	513	1321
280	514	1316
281	515	1312
282	515	1307
283	516	1302
284	517	1297
285	517	1292
286	518	1287
287	519	1283
288	519	1278
289	520	1273
290	520	1269
291	521	1264
292	522	1259
293	522	1254
294	523	1250
295	524	1246
296	524	1242
297	525	1237
298	526	1235
299	527	1231
300	528	1227
301	529	1222
302	529	1218
303	530	1213
304	530	1209
305	531	1205
306	531	1200
307	532	1196
308	533	1192
309	533	1188
310	534	1184
311	535	1180
312	535	1176
313	536	1171
314	537	1167
315	537	1164
316	538	1160
317	539	1156
318	539	1152
319	540	1148
320	542	1146
321	542	1142
322	543	1139
323	544	1135
324	544	1131
325	545	1127
326	546	1124
327	547	1121
328	548	1117
329	548	1114
330	549	1110
331	550	1107
332	551	1103
333	551	1100
334	552	1096
335	553	1093
336	553	1089
337	554	1085
338	555	1082
339	555	1078
340	556	1075
341	557	1071
342	557	1068
343	558	1064
344	558	1061
345	559	1057
346	560	1054
347	560	1050
348	561	1047
349	562	1044
350	562	1040
351	563	1037
352	564	1033
353	564	1030
354	565	1026
355	565	1023
356	566	1020
357	567	1017
358	567	1013
359	568	1010
360	568	1007
361	569	1003
362	570	1000
363	570	997
364	571	994
365	572	990
366	572	987
367	573	984
368	573	981
369	574	978
370	575	974
371	575	971
372	576	968
373	576	965
374	577	962
375	578	959
376	578	956
377	579	953
378	579	950
379	580	947
380	581	944
381	582	941
382	582	938
383	583	935
384	583	932
385	584	929
386	585	926
387	585	923
388	586	920
389	586	918
390	587	915
391	588	912
392	588	909
393	589	906
394	590	903
395	590	900
396	591	897
397	591	895
398	592	892
399	593	889
400	594	888
401	596	886
402	597	884
403	598	882
404	598	879
405	599	876
406	600	874
407	600	871
408	602	870
409	604	869
410	604	866
411	605	864
412	606	862
413	607	859
414	607	856
415	608	854
416	609	851
417	610	849
418	610	847
419	611	844
420	612	842
421	613	839
422	613	837
423	614	834
424	615	832
425	616	830
426	618	829
427	619	827
428	620	825
429	620	822
430	621	820
431	622	818
432	622	815
433	623	813
434	624	811
435	625	808
436	626	806
437	626	804
438	627	801
439	627	799
440	628	796
441	629	794
442	629	791
443	630	789
444	632	789
445	634	787
446	635	785
447	635	783
448	636	781
449	637	779
450	638	777
451	639	774
452	639	772
453	640	770
454	641	768
455	641	765
456	642	763
457	643	761
458	643	758
459	644	756
460	644	754
461	646	752
462	646	750
463	647	748
464	648	746
465	649	744
466	649	741
467	650	739
468	651	737
469	652	735
470	652	733
471	653	731
472	654	729
473	655	726
474	655	724
475	656	722
476	657	720
477	657	718
